Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Dirk Nowitzki (11917342),Dirk Nowitzki,11917342,UTIL,1000,LAL@DAL 01/07/2019 08:30PM ET,DAL,6.82
PF/C,Johnathan Williams (11917343),Johnathan Williams,11917343,UTIL,1000,LAL@DAL 01/07/2019 08:30PM ET,LAL,9.18
PG/SG,Alex Caruso (11917344),Alex Caruso,11917344,UTIL,1000,LAL@DAL 01/07/2019 08:30PM ET,LAL,0.62
SG/SF,Svi Mykhailiuk (11917345),Svi Mykhailiuk,11917345,UTIL,1000,LAL@DAL 01/07/2019 08:30PM ET,LAL,6.02
PG/SF,Isaac Bonga (11917346),Isaac Bonga,11917346,UTIL,1000,LAL@DAL 01/07/2019 08:30PM ET,LAL,3.67
PF/C,Moritz Wagner (11917347),Moritz Wagner,11917347,UTIL,1000,LAL@DAL 01/07/2019 08:30PM ET,LAL,7.07
C,Salah Mejri (11917348),Salah Mejri,11917348,UTIL,1000,LAL@DAL 01/07/2019 08:30PM ET,DAL,6.62
PF,Ray Spalding (11917349),Ray Spalding,11917349,UTIL,1000,LAL@DAL 01/07/2019 08:30PM ET,DAL,0
SF/PF,Kostas Antetokounmpo (11917350),Kostas Antetokounmpo,11917350,UTIL,1000,LAL@DAL 01/07/2019 08:30PM ET,DAL,0
PG/SG,Daryl Macon (11917351),Daryl Macon,11917351,UTIL,1000,LAL@DAL 01/07/2019 08:30PM ET,DAL,0
