NBA_Stats_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,DDpts,DDreb,DDast,DDblk,DDstl,#ofDDig,DoubDoub,TripDoub,ActFP,concatNameandTeam
1627846,Abdel Nader,OKC,25.0,1.0,0.0,1.0,12.0,9.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,14.6,0.0,0.0,4.0,0,0,0,0,0,0,0,0,14.75,Abdel NaderOKC
2200,Pau Gasol,SAS,38.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,2.0,2.0,17.1,0.0,0.0,-4,0,0,0,0,0,0,0,0,14.25,Pau GasolSAS
204038,Langston Galloway,DET,27.0,1.0,0.0,1.0,25.0,8.0,2.0,7.0,28.6,2.0,7.0,28.6,2.0,2.0,100.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,13.1,0.0,0.0,-10,0,0,0,0,0,0,0,0,14.25,Langston GallowayDET
1627820,Tyrone Wallace,LAC,24.0,1.0,0.0,1.0,19.0,7.0,3.0,4.0,75.0,0.0,0.0,0.0,1.0,4.0,25.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,-12,0,0,0,0,0,0,0,0,13.5,Tyrone WallaceLAC
1626168,Trey Lyles,DEN,23.0,1.0,1.0,0.0,22.0,7.0,3.0,11.0,27.3,1.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,13.9,0.0,0.0,12.0,0,0,0,0,0,0,0,0,13.5,Trey LylesDEN
202704,Reggie Jackson,DET,28.0,1.0,0.0,1.0,24.0,6.0,3.0,11.0,27.3,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,1.0,12.8,0.0,0.0,-20,0,0,0,0,0,0,0,0,13.5,Reggie JacksonDET
202330,Gordon Hayward,BOS,28.0,1.0,0.0,1.0,20.0,6.0,3.0,7.0,42.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,-20,0,0,0,0,0,0,0,0,13.25,Gordon HaywardBOS
1628379,Luke Kennard,DET,22.0,1.0,0.0,1.0,23.0,5.0,1.0,8.0,12.5,1.0,6.0,16.7,2.0,2.0,100.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,14.2,0.0,0.0,2.0,0,0,0,0,0,0,0,0,13.25,Luke KennardDET
1626179,Terry Rozier,BOS,24.0,1.0,0.0,1.0,17.0,4.0,1.0,8.0,12.5,0.0,3.0,0.0,2.0,2.0,100.0,2.0,4.0,6.0,0.0,1.0,1.0,0.0,0.0,13.2,0.0,0.0,-9,0,0,0,0,0,0,0,0,13.0,Terry RozierBOS
1629017,Khyri Thomas,DET,22.0,1.0,0.0,1.0,17.0,8.0,3.0,6.0,50.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,10.0,0,0,0,0,0,0,0,0,13.0,Khyri ThomasDET
1629057,Robert Williams III,BOS,21.0,1.0,0.0,1.0,14.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,14.3,0.0,0.0,15.0,0,0,0,0,0,0,0,0,12.5,Robert Williams IIIBOS
201143,Al Horford,BOS,32.0,1.0,0.0,1.0,23.0,2.0,1.0,8.0,12.5,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,2.0,0.0,1.0,2.0,12.3,0.0,0.0,-26,0,0,0,0,0,0,0,0,12.5,Al HorfordBOS
202340,Avery Bradley,LAC,28.0,1.0,0.0,1.0,26.0,2.0,1.0,6.0,16.7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,13.4,0.0,0.0,-11,0,0,0,0,0,0,0,0,11.5,Avery BradleyLAC
1627823,Juancho Hernangomez,DEN,23.0,1.0,1.0,0.0,22.0,2.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,13.1,0.0,0.0,11.0,0,0,0,0,0,0,0,0,11.25,Juancho HernangomezDEN
1628382,Justin Jackson,SAC,23.0,1.0,1.0,0.0,20.0,7.0,3.0,10.0,30.0,0.0,3.0,0.0,1.0,1.0,100.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,9.9,0.0,0.0,4.0,0,0,0,0,0,0,0,0,10.5,Justin JacksonSAC
1628405,Johnathan Motley,LAC,23.0,1.0,0.0,1.0,4.0,6.0,1.0,4.0,25.0,0.0,2.0,0.0,4.0,5.0,80.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,8.6,0.0,0.0,1.0,0,0,0,0,0,0,0,0,9.25,Johnathan MotleyLAC
1628983,Shai Gilgeous-Alexander,LAC,20.0,1.0,0.0,1.0,20.0,3.0,1.0,4.0,25.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,6.9,0.0,0.0,-21,0,0,0,0,0,0,0,0,8.0,Shai Gilgeous-AlexanderLAC
1627759,Jaylen Brown,BOS,22.0,1.0,0.0,1.0,14.0,2.0,1.0,5.0,20.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,8.9,0.0,0.0,-5,0,0,0,0,0,0,0,0,8.0,Jaylen BrownBOS
