Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Jalen Brunson (11938951),Jalen Brunson,11938951,PG/G/UTIL,3400,DAL@MIN 01/11/2019 08:00PM ET,DAL,12.28
PF/C,Meyers Leonard (11938924),Meyers Leonard,11938924,PF/C/F/UTIL,3400,CHA@POR 01/11/2019 10:00PM ET,POR,13.67
PF/C,Jonas Jerebko (11938936),Jonas Jerebko,11938936,PF/C/F/UTIL,3400,CHI@GS 01/11/2019 10:30PM ET,GS,17.68
PG/SF,Shaquille Harrison (11938954),Shaquille Harrison,11938954,PG/SF/F/G/UTIL,3400,CHI@GS 01/11/2019 10:30PM ET,CHI,14.88
SF/PF,Chandler Hutchison (11938971),Chandler Hutchison,11938971,SF/PF/F/UTIL,3400,CHI@GS 01/11/2019 10:30PM ET,CHI,10.86
SF/PF,Michael Beasley (11938916),Michael Beasley,11938916,SF/PF/F/UTIL,3400,LAL@UTA 01/11/2019 10:00PM ET,LAL,10.55
SF/PF,OG Anunoby (11938940),OG Anunoby,11938940,SF/PF/F/UTIL,3400,BKN@TOR 01/11/2019 07:30PM ET,TOR,14.32
PG/SG,Trey Burke (11938944),Trey Burke,11938944,PG/SG/G/UTIL,3400,IND@NY 01/11/2019 07:30PM ET,NY,19.22
PG,Cory Joseph (11938948),Cory Joseph,11938948,PG/G/UTIL,3400,IND@NY 01/11/2019 07:30PM ET,IND,20.15
PF,Jonah Bolden (11938959),Jonah Bolden,11938959,PF/F/UTIL,3400,ATL@PHI 01/11/2019 07:00PM ET,PHI,9.63
SG/SF,Daniel Hamilton (11938962),Daniel Hamilton,11938962,SG/SF/F/G/UTIL,3400,ATL@PHI 01/11/2019 07:00PM ET,ATL,8.96
SF/PF,Sam Dekker (11938977),Sam Dekker,11938977,SF/PF/F/UTIL,3300,MIL@WAS 01/11/2019 07:00PM ET,WAS,15.56
SF/PF,Dorian Finney-Smith (11938992),Dorian Finney-Smith,11938992,SF/PF/F/UTIL,3300,DAL@MIN 01/11/2019 08:00PM ET,DAL,16.91
PG,Shaun Livingston (11938981),Shaun Livingston,11938981,PG/G/UTIL,3300,CHI@GS 01/11/2019 10:30PM ET,GS,12.2
SF/PF,Jabari Parker (11938984),Jabari Parker,11938984,SF/PF/F/UTIL,3300,CHI@GS 01/11/2019 10:30PM ET,CHI,28
SF,Royce O'Neale (11939001),Royce O'Neale,11939001,SF/F/UTIL,3300,LAL@UTA 01/11/2019 10:00PM ET,UTA,10.46
C,Ante Zizic (11938975),Ante Zizic,11938975,C/UTIL,3300,CLE@HOU 01/11/2019 08:00PM ET,CLE,9.84
PG/SG,Frank Ntilikina (11938988),Frank Ntilikina,11938988,PG/SG/G/UTIL,3300,IND@NY 01/11/2019 07:30PM ET,NY,13.89
SG/SF,Damyean Dotson (11938996),Damyean Dotson,11938996,SG/SF/F/G/UTIL,3300,IND@NY 01/11/2019 07:30PM ET,NY,18.21
PG/SG,Allonzo Trier (11939004),Allonzo Trier,11939004,PG/SG/G/UTIL,3300,IND@NY 01/11/2019 07:30PM ET,NY,17.23
PF/C,Gorgui Dieng (11939016),Gorgui Dieng,11939016,PF/C/F/UTIL,3200,DAL@MIN 01/11/2019 08:00PM ET,MIN,13.74
SG/SF,Nik Stauskas (11939008),Nik Stauskas,11939008,SG/SF/F/G/UTIL,3200,CHA@POR 01/11/2019 10:00PM ET,POR,11.64
SF/PF,Miles Bridges (11939041),Miles Bridges,11939041,SF/PF/F/UTIL,3200,CHA@POR 01/11/2019 10:00PM ET,CHA,15.04
SF/PF,Michael Kidd-Gilchrist (11939045),Michael Kidd-Gilchrist,11939045,SF/PF/F/UTIL,3200,CHA@POR 01/11/2019 10:00PM ET,CHA,17.65
PG,Quinn Cook (11939013),Quinn Cook,11939013,PG/G/UTIL,3200,CHI@GS 01/11/2019 10:30PM ET,GS,14.99
PG/SG,Antonio Blakeney (11939020),Antonio Blakeney,11939020,PG/SG/G/UTIL,3200,CHI@GS 01/11/2019 10:30PM ET,CHI,12.80
SF/PF,Thabo Sefolosha (11939024),Thabo Sefolosha,11939024,SF/PF/F/UTIL,3200,LAL@UTA 01/11/2019 10:00PM ET,UTA,8.99
SF/PF,Jalen Jones (11939028),Jalen Jones,11939028,SF/PF/F/UTIL,3200,CLE@HOU 01/11/2019 08:00PM ET,CLE,9.17
SG/SF,C.J. Miles (11939032),C.J. Miles,11939032,SG/SF/F/G/UTIL,3200,BKN@TOR 01/11/2019 07:30PM ET,TOR,9.09
SF/PF,Vince Carter (11939037),Vince Carter,11939037,SF/PF/F/UTIL,3200,ATL@PHI 01/11/2019 07:00PM ET,ATL,14.57
PF/C,Mike Muscala (11939049),Mike Muscala,11939049,PF/C/F/UTIL,3200,ATL@PHI 01/11/2019 07:00PM ET,PHI,17.06
PG/SG,Chasson Randle (11939124),Chasson Randle,11939124,PG/SG/G/UTIL,3100,MIL@WAS 01/11/2019 07:00PM ET,WAS,12.83
PF/C,Thon Maker (11939128),Thon Maker,11939128,PF/C/F/UTIL,3100,MIL@WAS 01/11/2019 07:00PM ET,MIL,11.49
SG/SF,Ryan Broekhoff (11939057),Ryan Broekhoff,11939057,SG/SF/F/G/UTIL,3100,DAL@MIN 01/11/2019 08:00PM ET,DAL,4.92
PG/SG,Devin Harris (11939062),Devin Harris,11939062,PG/SG/G/UTIL,3100,DAL@MIN 01/11/2019 08:00PM ET,DAL,12.08
SG/SF,Wayne Selden Jr. (11939066),Wayne Selden Jr.,11939066,SG/SF/F/G/UTIL,3100,CHI@GS 01/11/2019 10:30PM ET,CHI,9.34
C,Robin Lopez (11939071),Robin Lopez,11939071,C/UTIL,3100,CHI@GS 01/11/2019 10:30PM ET,CHI,11.60
PF/C,Jordan Bell (11939132),Jordan Bell,11939132,PF/C/F/UTIL,3100,CHI@GS 01/11/2019 10:30PM ET,GS,9.81
PG,Ryan Arcidiacono (11939136),Ryan Arcidiacono,11939136,PG/G/UTIL,3100,CHI@GS 01/11/2019 10:30PM ET,CHI,17.16
C,Ekpe Udoh (11939073),Ekpe Udoh,11939073,C/UTIL,3100,LAL@UTA 01/11/2019 10:00PM ET,UTA,5.55
C,Tyson Chandler (11939075),Tyson Chandler,11939075,C/UTIL,3100,LAL@UTA 01/11/2019 10:00PM ET,LAL,15.12
C,Nene Hilario (11939077),Nene Hilario,11939077,C/UTIL,3100,CLE@HOU 01/11/2019 08:00PM ET,HOU,10.73
SG/SF,James Ennis III (11939079),James Ennis III,11939079,SG/SF/F/G/UTIL,3100,CLE@HOU 01/11/2019 08:00PM ET,HOU,14.15
PF/C,Channing Frye (11939084),Channing Frye,11939084,PF/C/F/UTIL,3100,CLE@HOU 01/11/2019 08:00PM ET,CLE,7.11
SG/SF,David Nwaba (11939088),David Nwaba,11939088,SG/SF/F/G/UTIL,3100,CLE@HOU 01/11/2019 08:00PM ET,CLE,12.38
SF/PF,Treveon Graham (11939053),Treveon Graham,11939053,SF/PF/F/UTIL,3100,BKN@TOR 01/11/2019 07:30PM ET,BKN,7.96
PF/C,Chris Boucher (11939093),Chris Boucher,11939093,PF/C/F/UTIL,3100,BKN@TOR 01/11/2019 07:30PM ET,TOR,8.27
SF/PF,Jared Dudley (11939097),Jared Dudley,11939097,SF/PF/F/UTIL,3100,BKN@TOR 01/11/2019 07:30PM ET,BKN,12.69
SG/SF,Courtney Lee (11939101),Courtney Lee,11939101,SG/SF/F/G/UTIL,3100,IND@NY 01/11/2019 07:30PM ET,NY,12.45
C,Mitchell Robinson (11939106),Mitchell Robinson,11939106,C/UTIL,3100,IND@NY 01/11/2019 07:30PM ET,NY,15.28
PG/SG,Aaron Holiday (11939108),Aaron Holiday,11939108,PG/SG/G/UTIL,3100,IND@NY 01/11/2019 07:30PM ET,IND,11.65
PG/SG,Landry Shamet (11939112),Landry Shamet,11939112,PG/SG/G/UTIL,3100,ATL@PHI 01/11/2019 07:00PM ET,PHI,13.20
PG/SG,Tyler Dorsey (11939116),Tyler Dorsey,11939116,PG/SG/G/UTIL,3100,ATL@PHI 01/11/2019 07:00PM ET,ATL,7.78
SF/PF,Justin Anderson (11939120),Justin Anderson,11939120,SF/PF/F/UTIL,3100,ATL@PHI 01/11/2019 07:00PM ET,ATL,6.98
SG,Devin Robinson (11939139),Devin Robinson,11939139,SG/G/UTIL,3000,MIL@WAS 01/11/2019 07:00PM ET,WAS,9.69
PG,John Wall (11939142),John Wall,11939142,PG/G/UTIL,3000,MIL@WAS 01/11/2019 07:00PM ET,WAS,42.58
PG/SG,Jordan McRae (11939145),Jordan McRae,11939145,PG/SG/G/UTIL,3000,MIL@WAS 01/11/2019 07:00PM ET,WAS,2.46
PF/C,Jason Smith (11939149),Jason Smith,11939149,PF/C/F/UTIL,3000,MIL@WAS 01/11/2019 07:00PM ET,MIL,9.48
SG,Jaylen Morris (11939153),Jaylen Morris,11939153,SG/G/UTIL,3000,MIL@WAS 01/11/2019 07:00PM ET,MIL,6.56
PG,Trevon Duval (11939156),Trevon Duval,11939156,PG/G/UTIL,3000,MIL@WAS 01/11/2019 07:00PM ET,MIL,0
PG/SF,Donte DiVincenzo (11939159),Donte DiVincenzo,11939159,PG/SF/F/G/UTIL,3000,MIL@WAS 01/11/2019 07:00PM ET,MIL,11.13
PF/C,Christian Wood (11939164),Christian Wood,11939164,PF/C/F/UTIL,3000,MIL@WAS 01/11/2019 07:00PM ET,MIL,8
SG/SF,Troy Brown (11939426),Troy Brown,11939426,SG/SF/F/G/UTIL,3000,MIL@WAS 01/11/2019 07:00PM ET,WAS,6.24
