Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Miles Bridges (11943751),Miles Bridges,11943751,SF/PF/F/UTIL,3200,CHA@SAC 01/12/2019 10:00PM ET,CHA,14.92
SF/PF,Michael Kidd-Gilchrist (11943755),Michael Kidd-Gilchrist,11943755,SF/PF/F/UTIL,3200,CHA@SAC 01/12/2019 10:00PM ET,CHA,17.43
SG/SF,Ben McLemore (11943759),Ben McLemore,11943759,SG/SF/F/G/UTIL,3200,CHA@SAC 01/12/2019 10:00PM ET,SAC,6.54
PF/C,Cheick Diallo (11943771),Cheick Diallo,11943771,PF/C/F/UTIL,3100,NO@MIN 01/12/2019 08:00PM ET,NO,9.55
PF/C,Gorgui Dieng (11943808),Gorgui Dieng,11943808,PF/C/F/UTIL,3100,NO@MIN 01/12/2019 08:00PM ET,MIN,13.88
SF/PF,Solomon Hill (11943812),Solomon Hill,11943812,SF/PF/F/UTIL,3100,NO@MIN 01/12/2019 08:00PM ET,NO,11.36
PG,Jerian Grant (11943775),Jerian Grant,11943775,PG/G/UTIL,3100,BOS@ORL 01/12/2019 07:00PM ET,ORL,12.21
PG/SG,Isaiah Briscoe (11943778),Isaiah Briscoe,11943778,PG/SG/G/UTIL,3100,BOS@ORL 01/12/2019 07:00PM ET,ORL,4.92
PF/C,Robert Williams (11943782),Robert Williams,11943782,PF/C/F/UTIL,3100,BOS@ORL 01/12/2019 07:00PM ET,BOS,11.24
SF/PF,Semi Ojeleye (11943786),Semi Ojeleye,11943786,SF/PF/F/UTIL,3100,BOS@ORL 01/12/2019 07:00PM ET,BOS,6.96
C,Ekpe Udoh (11943790),Ekpe Udoh,11943790,C/UTIL,3100,CHI@UTA 01/12/2019 10:00PM ET,UTA,5.39
SG/SF,Wayne Selden Jr. (11943792),Wayne Selden Jr.,11943792,SG/SF/F/G/UTIL,3100,CHI@UTA 01/12/2019 10:00PM ET,CHI,9.41
C,Robin Lopez (11943797),Robin Lopez,11943797,C/UTIL,3100,CHI@UTA 01/12/2019 10:00PM ET,CHI,11.46
PG,Ryan Arcidiacono (11943799),Ryan Arcidiacono,11943799,PG/G/UTIL,3100,CHI@UTA 01/12/2019 10:00PM ET,CHI,17.15
C,Pau Gasol (11943802),Pau Gasol,11943802,C/UTIL,3100,SA@OKC 01/12/2019 08:00PM ET,SA,18.94
PF/C,Kosta Koufos (11943804),Kosta Koufos,11943804,PF/C/F/UTIL,3100,CHA@SAC 01/12/2019 10:00PM ET,SAC,13.04
PG/SG,Jerryd Bayless (11943816),Jerryd Bayless,11943816,PG/SG/G/UTIL,3000,NO@MIN 01/12/2019 08:00PM ET,MIN,6.38
SG/SF,C.J. Williams (11943820),C.J. Williams,11943820,SG/SF/F/G/UTIL,3000,NO@MIN 01/12/2019 08:00PM ET,MIN,3.5
SF/PF,Luol Deng (11943825),Luol Deng,11943825,SF/PF/F/UTIL,3000,NO@MIN 01/12/2019 08:00PM ET,MIN,8.88
SF,Keita Bates-Diop (11943829),Keita Bates-Diop,11943829,SF/F/UTIL,3000,NO@MIN 01/12/2019 08:00PM ET,MIN,4.88
PG,Jared Terrell (11943832),Jared Terrell,11943832,PG/G/UTIL,3000,NO@MIN 01/12/2019 08:00PM ET,MIN,4.83
SG/SF,Wesley Johnson (11943835),Wesley Johnson,11943835,SG/SF/F/G/UTIL,3000,NO@MIN 01/12/2019 08:00PM ET,NO,9.12
SG/SF,Trevon Bluiett (11943840),Trevon Bluiett,11943840,SG/SF/F/G/UTIL,3000,NO@MIN 01/12/2019 08:00PM ET,NO,0
SG/SF,Kenrich Williams (11943845),Kenrich Williams,11943845,SG/SF/F/G/UTIL,3000,NO@MIN 01/12/2019 08:00PM ET,NO,2.73
PG/SG,Ian Clark (11943850),Ian Clark,11943850,PG/SG/G/UTIL,3000,NO@MIN 01/12/2019 08:00PM ET,NO,8.24
SG/SF,Melvin Frazier (11943854),Melvin Frazier,11943854,SG/SF/F/G/UTIL,3000,BOS@ORL 01/12/2019 07:00PM ET,ORL,0.92
SG,Troy Caupain (11943859),Troy Caupain,11943859,SG/G/UTIL,3000,BOS@ORL 01/12/2019 07:00PM ET,ORL,7.25
C,Timofey Mozgov (11943862),Timofey Mozgov,11943862,C/UTIL,3000,BOS@ORL 01/12/2019 07:00PM ET,ORL,0
PF/C,Khem Birch (11943864),Khem Birch,11943864,PF/C/F/UTIL,3000,BOS@ORL 01/12/2019 07:00PM ET,ORL,6.44
PF/C,Amile Jefferson (11943868),Amile Jefferson,11943868,PF/C/F/UTIL,3000,BOS@ORL 01/12/2019 07:00PM ET,ORL,3.25
PF/C,Jarell Martin (11943872),Jarell Martin,11943872,PF/C/F/UTIL,3000,BOS@ORL 01/12/2019 07:00PM ET,ORL,5.43
PG/SG,PJ Dozier (11943876),PJ Dozier,11943876,PG/SG/G/UTIL,3000,BOS@ORL 01/12/2019 07:00PM ET,BOS,4.17
PF/C,Guerschon Yabusele (11943880),Guerschon Yabusele,11943880,PF/C/F/UTIL,3000,BOS@ORL 01/12/2019 07:00PM ET,BOS,4.74
SG/SF,Jabari Bird (11943884),Jabari Bird,11943884,SG/SF/F/G/UTIL,3000,BOS@ORL 01/12/2019 07:00PM ET,BOS,0
PG/SG,Brad Wanamaker (11943889),Brad Wanamaker,11943889,PG/SG/G/UTIL,3000,BOS@ORL 01/12/2019 07:00PM ET,BOS,6.60
SG,R.J. Hunter (11943893),R.J. Hunter,11943893,SG/G/UTIL,3000,BOS@ORL 01/12/2019 07:00PM ET,BOS,0
C,Tony Bradley (11943896),Tony Bradley,11943896,C/UTIL,3000,CHI@UTA 01/12/2019 10:00PM ET,UTA,3.25
PG/SG,Grayson Allen (11943898),Grayson Allen,11943898,PG/SG/G/UTIL,3000,CHI@UTA 01/12/2019 10:00PM ET,UTA,5.52
PF,Tyler Cavanaugh (11943902),Tyler Cavanaugh,11943902,PF/F/UTIL,3000,CHI@UTA 01/12/2019 10:00PM ET,UTA,0.62
PG,Nazareth Mitrou-Long (11943905),Nazareth Mitrou-Long,11943905,PG/G/UTIL,3000,CHI@UTA 01/12/2019 10:00PM ET,UTA,1.38
SF/PF,Georges Niang (11943908),Georges Niang,11943908,SF/PF/F/UTIL,3000,CHI@UTA 01/12/2019 10:00PM ET,UTA,6.03
PG/SF,Denzel Valentine (11943912),Denzel Valentine,11943912,PG/SF/F/G/UTIL,3000,CHI@UTA 01/12/2019 10:00PM ET,CHI,0
PG,Rawle Alkins (11943917),Rawle Alkins,11943917,PG/G/UTIL,3000,CHI@UTA 01/12/2019 10:00PM ET,CHI,6.12
