,model,lineupNum,team,player_name,concatNameTeam
102,A_pydfs_1.00_Exp,13,NOP,Nikola Mirotic,Nikola MiroticNOP
103,A_pydfs_1.00_Exp,13,OKC,Dennis Schroder,Dennis SchroderOKC
104,A_pydfs_1.00_Exp,14,NOP,Jrue Holiday,Jrue HolidayNOP
105,A_pydfs_1.00_Exp,14,CHI,Zach LaVine,Zach LaVineCHI
106,A_pydfs_1.00_Exp,14,DEN,Will Barton,Will BartonDEN
107,A_pydfs_1.00_Exp,14,NOP,Anthony Davis,Anthony DavisNOP
108,A_pydfs_1.00_Exp,14,NOP,Nikola Mirotic,Nikola MiroticNOP
109,A_pydfs_1.00_Exp,14,OKC,Dennis Schroder,Dennis SchroderOKC
110,A_pydfs_1.00_Exp,14,MIN,Taj Gibson,Taj GibsonMIN
111,A_pydfs_1.00_Exp,14,ORL,Terrence Ross,Terrence RossORL
112,A_pydfs_1.00_Exp,15,CHI,Zach LaVine,Zach LaVineCHI
113,A_pydfs_1.00_Exp,15,DEN,Will Barton,Will BartonDEN
114,A_pydfs_1.00_Exp,15,ORL,Evan Fournier,Evan FournierORL
115,A_pydfs_1.00_Exp,15,NOP,Anthony Davis,Anthony DavisNOP
116,A_pydfs_1.00_Exp,15,NOP,Julius Randle,Julius RandleNOP
117,A_pydfs_1.00_Exp,15,OKC,Dennis Schroder,Dennis SchroderOKC
118,A_pydfs_1.00_Exp,15,NOP,Nikola Mirotic,Nikola MiroticNOP
119,A_pydfs_1.00_Exp,15,CHI,Bobby Portis,Bobby PortisCHI
120,A_pydfs_1.00_Exp,16,NOP,Jrue Holiday,Jrue HolidayNOP
121,A_pydfs_1.00_Exp,16,CHI,Zach LaVine,Zach LaVineCHI
122,A_pydfs_1.00_Exp,16,DEN,Will Barton,Will BartonDEN
123,A_pydfs_1.00_Exp,16,NOP,Anthony Davis,Anthony DavisNOP
124,A_pydfs_1.00_Exp,16,NOP,Nikola Mirotic,Nikola MiroticNOP
125,A_pydfs_1.00_Exp,16,OKC,Dennis Schroder,Dennis SchroderOKC
126,A_pydfs_1.00_Exp,16,MIN,Taj Gibson,Taj GibsonMIN
127,A_pydfs_1.00_Exp,16,PHO,Kelly Oubre,Kelly OubrePHO
128,A_pydfs_1.00_Exp,17,NOP,Jrue Holiday,Jrue HolidayNOP
129,A_pydfs_1.00_Exp,17,CHI,Zach LaVine,Zach LaVineCHI
130,A_pydfs_1.00_Exp,17,DEN,Will Barton,Will BartonDEN
131,A_pydfs_1.00_Exp,17,NOP,Anthony Davis,Anthony DavisNOP
132,A_pydfs_1.00_Exp,17,SAS,Pau Gasol,Pau GasolSAS
133,A_pydfs_1.00_Exp,17,ORL,Evan Fournier,Evan FournierORL
134,A_pydfs_1.00_Exp,17,NOP,Nikola Mirotic,Nikola MiroticNOP
135,A_pydfs_1.00_Exp,17,BOS,Al Horford,Al HorfordBOS
136,A_pydfs_1.00_Exp,18,CHI,Ryan Arcidiacono,Ryan ArcidiaconoCHI
137,A_pydfs_1.00_Exp,18,NOP,Jrue Holiday,Jrue HolidayNOP
138,A_pydfs_1.00_Exp,18,DEN,Will Barton,Will BartonDEN
139,A_pydfs_1.00_Exp,18,NOP,Anthony Davis,Anthony DavisNOP
140,A_pydfs_1.00_Exp,18,SAS,Pau Gasol,Pau GasolSAS
141,A_pydfs_1.00_Exp,18,CHI,Zach LaVine,Zach LaVineCHI
142,A_pydfs_1.00_Exp,18,NOP,Julius Randle,Julius RandleNOP
143,A_pydfs_1.00_Exp,18,NOP,Nikola Mirotic,Nikola MiroticNOP
144,A_pydfs_1.00_Exp,19,NOP,Jrue Holiday,Jrue HolidayNOP
145,A_pydfs_1.00_Exp,19,CHI,Zach LaVine,Zach LaVineCHI
146,A_pydfs_1.00_Exp,19,DEN,Will Barton,Will BartonDEN
147,A_pydfs_1.00_Exp,19,NOP,Nikola Mirotic,Nikola MiroticNOP
148,A_pydfs_1.00_Exp,19,PHO,Deandre Ayton,Deandre AytonPHO
149,A_pydfs_1.00_Exp,19,OKC,Dennis Schroder,Dennis SchroderOKC
150,A_pydfs_1.00_Exp,19,CHI,Bobby Portis,Bobby PortisCHI
