,Unnamed: 0,model,lineupNum,team,player_name,concatNameTeam,NBA_Stats_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,DDpts,DDreb,DDast,DDblk,DDstl,#ofDDig,DoubDoub,TripDoub,ActFP
3269,44,A_pydfs_1.00_Exp,6,SAS,Pau Gasol,Pau GasolSAS,2200,Pau Gasol,SAS,38,1,0,1,14,2,1,3,33.3,0,1,0.0,0,0,0.0,0,6,6,0,1,0,0,2,8.2,0,0,-9,0,0,0,0,0,0,0,0,9.0
2475,43,A_pydfs_1.00_Exp,6,NOP,Anthony Davis,Anthony DavisNOP,203076,Anthony Davis,NOP,25,1,0,1,36,30,10,22,45.5,2,5,40.0,8,9,88.9,4,10,14,2,3,0,1,5,49.8,1,0,1,1,1,0,0,0,2,0,0,52.0
4596,46,A_pydfs_1.00_Exp,6,NOP,Nikola Mirotic,Nikola MiroticNOP,202703,Nikola Mirotic,NOP,27,1,0,1,27,9,3,8,37.5,1,6,16.7,2,2,100.0,0,6,6,0,0,0,3,5,25.2,0,0,4,0,0,0,0,0,0,0,0,23.0
1648,45,A_pydfs_1.00_Exp,6,DEN,Will Barton,Will BartonDEN,203115,Will Barton,DEN,28,1,0,1,16,6,2,10,20.0,1,3,33.3,1,2,50.0,1,4,5,3,1,0,0,2,15.5,0,0,-16,0,0,0,0,0,0,0,0,16.75
6722,42,A_pydfs_1.00_Exp,6,BOS,Jayson Tatum,Jayson TatumBOS,1628369,Jayson Tatum,BOS,20,1,0,1,28,16,6,16,37.5,1,4,25.0,3,4,75.0,2,4,6,1,2,1,1,4,28.7,0,0,8,1,0,0,0,0,1,0,0,28.5
4,40,A_pydfs_1.00_Exp,6,NOP,Jrue Holiday,Jrue HolidayNOP,201950,Jrue Holiday,NOP,28,1,0,1,40,25,12,22,54.5,0,4,0.0,1,1,100.0,2,4,6,7,3,0,2,1,45.7,0,0,-3,1,0,0,0,0,1,0,0,45.5
5390,54,A_pydfs_1.00_Exp,7,BOS,Al Horford,Al HorfordBOS,201143,Al Horford,BOS,32,1,0,1,30,10,5,10,50.0,0,2,0.0,0,0,0.0,2,9,11,4,2,4,1,2,42.2,1,0,21,1,1,0,0,0,2,0,0,38.75
1649,53,A_pydfs_1.00_Exp,7,DEN,Will Barton,Will BartonDEN,203115,Will Barton,DEN,28,1,0,1,16,6,2,10,20.0,1,3,33.3,1,2,50.0,1,4,5,3,1,0,0,2,15.5,0,0,-16,0,0,0,0,0,0,0,0,16.75
6941,50,A_pydfs_1.00_Exp,7,CHA,Michael Kidd-Gilchrist,Michael Kidd-GilchristCHA,203077,Michael Kidd-Gilchrist,CHA,25,1,0,1,26,11,5,10,50.0,1,1,100.0,0,0,0.0,3,4,7,0,1,0,3,4,27.4,0,0,-4,1,0,0,0,0,1,0,0,25.75
2476,51,A_pydfs_1.00_Exp,7,NOP,Anthony Davis,Anthony DavisNOP,203076,Anthony Davis,NOP,25,1,0,1,36,30,10,22,45.5,2,5,40.0,8,9,88.9,4,10,14,2,3,0,1,5,49.8,1,0,1,1,1,0,0,0,2,0,0,52.0
816,49,A_pydfs_1.00_Exp,7,CHI,Zach LaVine,Zach LaVineCHI,203897,Zach LaVine,CHI,23,1,0,1,29,21,7,21,33.3,2,7,28.6,5,6,83.3,0,3,3,1,1,3,1,3,37.1,0,0,-6,1,0,0,0,0,1,0,0,34.75
4597,52,A_pydfs_1.00_Exp,7,NOP,Nikola Mirotic,Nikola MiroticNOP,202703,Nikola Mirotic,NOP,27,1,0,1,27,9,3,8,37.5,1,6,16.7,2,2,100.0,0,6,6,0,0,0,3,5,25.2,0,0,4,0,0,0,0,0,0,0,0,23.0
3811,55,A_pydfs_1.00_Exp,7,OKC,Dennis Schroder,Dennis SchroderOKC,203471,Dennis Schroder,OKC,25,1,1,0,25,19,8,17,47.1,0,1,0.0,3,4,75.0,1,0,1,6,0,4,0,3,41.2,0,0,6,1,0,0,0,0,1,0,0,37.25
5,48,A_pydfs_1.00_Exp,7,NOP,Jrue Holiday,Jrue HolidayNOP,201950,Jrue Holiday,NOP,28,1,0,1,40,25,12,22,54.5,0,4,0.0,1,1,100.0,2,4,6,7,3,0,2,1,45.7,0,0,-3,1,0,0,0,0,1,0,0,45.5
2477,59,A_pydfs_1.00_Exp,8,NOP,Anthony Davis,Anthony DavisNOP,203076,Anthony Davis,NOP,25,1,0,1,36,30,10,22,45.5,2,5,40.0,8,9,88.9,4,10,14,2,3,0,1,5,49.8,1,0,1,1,1,0,0,0,2,0,0,52.0
817,57,A_pydfs_1.00_Exp,8,CHI,Zach LaVine,Zach LaVineCHI,203897,Zach LaVine,CHI,23,1,0,1,29,21,7,21,33.3,2,7,28.6,5,6,83.3,0,3,3,1,1,3,1,3,37.1,0,0,-6,1,0,0,0,0,1,0,0,34.75
3270,60,A_pydfs_1.00_Exp,8,SAS,Pau Gasol,Pau GasolSAS,2200,Pau Gasol,SAS,38,1,0,1,14,2,1,3,33.3,0,1,0.0,0,0,0.0,0,6,6,0,1,0,0,2,8.2,0,0,-9,0,0,0,0,0,0,0,0,9.0
1650,58,A_pydfs_1.00_Exp,8,DEN,Will Barton,Will BartonDEN,203115,Will Barton,DEN,28,1,0,1,16,6,2,10,20.0,1,3,33.3,1,2,50.0,1,4,5,3,1,0,0,2,15.5,0,0,-16,0,0,0,0,0,0,0,0,16.75
6,56,A_pydfs_1.00_Exp,8,NOP,Jrue Holiday,Jrue HolidayNOP,201950,Jrue Holiday,NOP,28,1,0,1,40,25,12,22,54.5,0,4,0.0,1,1,100.0,2,4,6,7,3,0,2,1,45.7,0,0,-3,1,0,0,0,0,1,0,0,45.5
3812,61,A_pydfs_1.00_Exp,8,OKC,Dennis Schroder,Dennis SchroderOKC,203471,Dennis Schroder,OKC,25,1,1,0,25,19,8,17,47.1,0,1,0.0,3,4,75.0,1,0,1,6,0,4,0,3,41.2,0,0,6,1,0,0,0,0,1,0,0,37.25
7,65,A_pydfs_1.00_Exp,9,NOP,Jrue Holiday,Jrue HolidayNOP,201950,Jrue Holiday,NOP,28,1,0,1,40,25,12,22,54.5,0,4,0.0,1,1,100.0,2,4,6,7,3,0,2,1,45.7,0,0,-3,1,0,0,0,0,1,0,0,45.5
5391,70,A_pydfs_1.00_Exp,9,BOS,Al Horford,Al HorfordBOS,201143,Al Horford,BOS,32,1,0,1,30,10,5,10,50.0,0,2,0.0,0,0,0.0,2,9,11,4,2,4,1,2,42.2,1,0,21,1,1,0,0,0,2,0,0,38.75
3813,71,A_pydfs_1.00_Exp,9,OKC,Dennis Schroder,Dennis SchroderOKC,203471,Dennis Schroder,OKC,25,1,1,0,25,19,8,17,47.1,0,1,0.0,3,4,75.0,1,0,1,6,0,4,0,3,41.2,0,0,6,1,0,0,0,0,1,0,0,37.25
4598,68,A_pydfs_1.00_Exp,9,NOP,Nikola Mirotic,Nikola MiroticNOP,202703,Nikola Mirotic,NOP,27,1,0,1,27,9,3,8,37.5,1,6,16.7,2,2,100.0,0,6,6,0,0,0,3,5,25.2,0,0,4,0,0,0,0,0,0,0,0,23.0
2478,67,A_pydfs_1.00_Exp,9,NOP,Anthony Davis,Anthony DavisNOP,203076,Anthony Davis,NOP,25,1,0,1,36,30,10,22,45.5,2,5,40.0,8,9,88.9,4,10,14,2,3,0,1,5,49.8,1,0,1,1,1,0,0,0,2,0,0,52.0
818,69,A_pydfs_1.00_Exp,9,CHI,Zach LaVine,Zach LaVineCHI,203897,Zach LaVine,CHI,23,1,0,1,29,21,7,21,33.3,2,7,28.6,5,6,83.3,0,3,3,1,1,3,1,3,37.1,0,0,-6,1,0,0,0,0,1,0,0,34.75
1651,66,A_pydfs_1.00_Exp,9,DEN,Will Barton,Will BartonDEN,203115,Will Barton,DEN,28,1,0,1,16,6,2,10,20.0,1,3,33.3,1,2,50.0,1,4,5,3,1,0,0,2,15.5,0,0,-16,0,0,0,0,0,0,0,0,16.75
7059,64,A_pydfs_1.00_Exp,9,CHI,Ryan Arcidiacono,Ryan ArcidiaconoCHI,1627853,Ryan Arcidiacono,CHI,24,1,0,1,19,6,1,5,20.0,0,3,0.0,4,4,100.0,0,2,2,2,3,0,0,1,8.4,0,0,-4,0,0,0,0,0,0,0,0,10.0
819,73,A_pydfs_1.00_Exp,10,CHI,Zach LaVine,Zach LaVineCHI,203897,Zach LaVine,CHI,23,1,0,1,29,21,7,21,33.3,2,7,28.6,5,6,83.3,0,3,3,1,1,3,1,3,37.1,0,0,-6,1,0,0,0,0,1,0,0,34.75
3271,76,A_pydfs_1.00_Exp,10,SAS,Pau Gasol,Pau GasolSAS,2200,Pau Gasol,SAS,38,1,0,1,14,2,1,3,33.3,0,1,0.0,0,0,0.0,0,6,6,0,1,0,0,2,8.2,0,0,-9,0,0,0,0,0,0,0,0,9.0
1652,77,A_pydfs_1.00_Exp,10,DEN,Will Barton,Will BartonDEN,203115,Will Barton,DEN,28,1,0,1,16,6,2,10,20.0,1,3,33.3,1,2,50.0,1,4,5,3,1,0,0,2,15.5,0,0,-16,0,0,0,0,0,0,0,0,16.75
8,72,A_pydfs_1.00_Exp,10,NOP,Jrue Holiday,Jrue HolidayNOP,201950,Jrue Holiday,NOP,28,1,0,1,40,25,12,22,54.5,0,4,0.0,1,1,100.0,2,4,6,7,3,0,2,1,45.7,0,0,-3,1,0,0,0,0,1,0,0,45.5
7284,74,A_pydfs_1.00_Exp,10,BOS,Marcus Morris,Marcus MorrisBOS,202694,Marcus Morris,BOS,29,1,0,1,31,17,6,12,50.0,3,6,50.0,2,4,50.0,2,6,8,1,0,0,0,2,28.1,0,0,10,1,0,0,0,0,1,0,0,30.0
3814,79,A_pydfs_1.00_Exp,10,OKC,Dennis Schroder,Dennis SchroderOKC,203471,Dennis Schroder,OKC,25,1,1,0,25,19,8,17,47.1,0,1,0.0,3,4,75.0,1,0,1,6,0,4,0,3,41.2,0,0,6,1,0,0,0,0,1,0,0,37.25
2479,75,A_pydfs_1.00_Exp,10,NOP,Anthony Davis,Anthony DavisNOP,203076,Anthony Davis,NOP,25,1,0,1,36,30,10,22,45.5,2,5,40.0,8,9,88.9,4,10,14,2,3,0,1,5,49.8,1,0,1,1,1,0,0,0,2,0,0,52.0
4599,78,A_pydfs_1.00_Exp,10,NOP,Nikola Mirotic,Nikola MiroticNOP,202703,Nikola Mirotic,NOP,27,1,0,1,27,9,3,8,37.5,1,6,16.7,2,2,100.0,0,6,6,0,0,0,3,5,25.2,0,0,4,0,0,0,0,0,0,0,0,23.0
7332,87,A_pydfs_1.00_Exp,11,BOS,Terry Rozier,Terry RozierBOS,1626179,Terry Rozier,BOS,24,1,0,1,17,0,0,5,0.0,0,3,0.0,0,0,0.0,0,3,3,2,1,0,0,0,5.6,0,0,-20,0,0,0,0,0,0,0,0,6.25
2480,83,A_pydfs_1.00_Exp,11,NOP,Anthony Davis,Anthony DavisNOP,203076,Anthony Davis,NOP,25,1,0,1,36,30,10,22,45.5,2,5,40.0,8,9,88.9,4,10,14,2,3,0,1,5,49.8,1,0,1,1,1,0,0,0,2,0,0,52.0
4600,84,A_pydfs_1.00_Exp,11,NOP,Nikola Mirotic,Nikola MiroticNOP,202703,Nikola Mirotic,NOP,27,1,0,1,27,9,3,8,37.5,1,6,16.7,2,2,100.0,0,6,6,0,0,0,3,5,25.2,0,0,4,0,0,0,0,0,0,0,0,23.0
1653,82,A_pydfs_1.00_Exp,11,DEN,Will Barton,Will BartonDEN,203115,Will Barton,DEN,28,1,0,1,16,6,2,10,20.0,1,3,33.3,1,2,50.0,1,4,5,3,1,0,0,2,15.5,0,0,-16,0,0,0,0,0,0,0,0,16.75
3815,85,A_pydfs_1.00_Exp,11,OKC,Dennis Schroder,Dennis SchroderOKC,203471,Dennis Schroder,OKC,25,1,1,0,25,19,8,17,47.1,0,1,0.0,3,4,75.0,1,0,1,6,0,4,0,3,41.2,0,0,6,1,0,0,0,0,1,0,0,37.25
5820,86,A_pydfs_1.00_Exp,11,ORL,Evan Fournier,Evan FournierORL,203095,Evan Fournier,ORL,26,1,1,0,39,18,8,15,53.3,2,7,28.6,0,0,0.0,1,2,3,5,0,0,0,2,29.1,0,0,-3,1,0,0,0,0,1,0,0,30.25
