NBA_Stats_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,DDpts,DDreb,DDast,DDblk,DDstl,#ofDDig,DoubDoub,TripDoub,ActFP,concatNameTeam
1626145,Tyus Jones,MIN,22,1,1,0,28,14,4,9,44.4,2,3,66.7,4,4,100,0,1,1,6,0,1,1,0,30.2,0,0,11,1,0,0,0,0,1,0,0,29.25,Tyus JonesMIN
203952,Andrew Wiggins,MIN,23,1,1,0,40,18,7,21,33.3,2,8,25,2,3,66.7,3,4,7,1,5,1,0,1,25.9,0,0,0,1,0,0,0,0,1,0,0,28.75,Andrew WigginsMIN
1628369,Jayson Tatum,BOS,20,1,0,1,28,16,6,16,37.5,1,4,25,3,4,75,2,4,6,1,2,1,1,4,28.7,0,0,8,1,0,0,0,0,1,0,0,28.5,Jayson TatumBOS
1628374,Lauri Markkanen,CHI,21,1,0,1,34,16,7,17,41.2,1,6,16.7,1,1,100,1,4,5,1,0,0,2,1,29.5,0,0,-11,1,0,0,0,0,1,0,0,28.25,Lauri MarkkanenCHI
1629006,Josh Okogie,MIN,20,1,1,0,42,17,6,14,42.9,1,8,12.5,4,5,80,0,5,5,2,1,1,0,2,28,0,0,4,1,0,0,0,0,1,0,0,28.25,Josh OkogieMIN
101150,Lou Williams,LAC,32,1,0,1,28,22,7,14,50,2,2,100,6,6,100,0,2,2,3,4,0,0,0,24.9,0,0,5,1,0,0,0,0,1,0,0,28,Lou WilliamsLAC
1628401,Derrick White,SAS,24,1,0,1,31,8,3,8,37.5,1,4,25,1,4,25,2,5,7,4,4,0,3,3,27.4,0,0,-10,0,0,0,0,0,0,0,0,27.25,Derrick WhiteSAS
201158,Marco Belinelli,SAS,32,1,0,1,22,24,8,10,80,4,6,66.7,4,4,100,0,0,0,1,1,0,0,2,24.5,0,0,-6,1,0,0,0,0,1,0,0,27,Marco BelinelliSAS
1628963,Marvin Bagley III,SAC,19,1,1,0,25,11,5,13,38.5,1,2,50,0,3,0,1,8,9,0,0,1,1,1,27.8,0,0,13,1,0,0,0,0,1,0,0,26.75,Marvin Bagley IIISAC
203924,Jerami Grant,OKC,24,1,1,0,30,12,4,7,57.1,2,4,50,2,2,100,0,4,4,3,0,0,2,2,27.3,0,0,1,1,0,0,0,0,1,0,0,26.5,Jerami GrantOKC
1628420,Monte Morris,DEN,23,1,0,1,29,12,5,11,45.5,1,4,25,1,1,100,1,3,4,5,1,1,0,2,26.3,0,0,-12,1,0,0,0,0,1,0,0,26.5,Monte MorrisDEN
2594,Kyle Korver,UTA,37,1,1,0,26,16,6,11,54.5,4,8,50,0,0,0,1,4,5,0,0,0,1,2,25,0,0,2,1,0,0,0,0,1,0,0,26.25,Kyle KorverUTA
203920,Khem Birch,ORL,26,1,1,0,18,4,2,2,100,0,0,0,0,0,0,2,8,10,1,0,0,4,2,29.5,0,0,23,0,1,0,0,0,1,0,0,26,Khem BirchORL
204060,Joe Ingles,UTA,31,1,1,0,31,16,6,14,42.9,4,10,40,0,0,0,0,2,2,4,1,0,0,2,23.4,0,0,-2,1,0,0,0,0,1,0,0,26,Joe InglesUTA
203077,Michael Kidd-Gilchrist,CHA,25,1,0,1,26,11,5,10,50,1,1,100,0,0,0,3,4,7,0,1,0,3,4,27.4,0,0,-4,1,0,0,0,0,1,0,0,25.75,Michael Kidd-GilchristCHA
1628990,Chandler Hutchison,CHI,22,1,0,1,25,11,4,7,57.1,2,3,66.7,1,1,100,1,6,7,2,1,1,0,0,24.4,0,0,-10,1,0,0,0,0,1,0,0,25.25,Chandler HutchisonCHI
1628976,Wendell Carter Jr.,CHI,19,1,0,1,30,7,3,9,33.3,0,1,0,1,2,50,3,6,9,2,0,1,1,4,26.8,0,0,-16,0,0,0,0,0,0,0,0,25.25,Wendell Carter Jr.CHI
1627736,Malik Beasley,DEN,22,1,0,1,40,21,8,14,57.1,5,9,55.6,0,0,0,0,1,1,1,2,0,0,2,21.7,0,0,2,1,0,0,0,0,1,0,0,25.25,Malik BeasleyDEN
203933,T.J. Warren,PHX,25,1,1,0,36,9,4,12,33.3,1,4,25,0,0,0,1,3,4,3,0,2,1,2,27.3,0,0,-5,0,0,0,0,0,0,0,0,25,T.J. WarrenPHX
1626158,Richaun Holmes,PHX,25,1,1,0,18,14,6,9,66.7,0,0,0,2,3,66.7,2,5,7,1,0,0,0,3,23.9,0,0,-1,1,0,0,0,0,1,0,0,24.25,Richaun HolmesPHX
202722,Davis Bertans,SAS,26,1,0,1,30,9,3,9,33.3,3,9,33.3,0,0,0,0,4,4,1,2,2,2,3,25.3,0,0,6,0,0,0,0,0,0,0,0,24,Davis BertansSAS
2548,Dwyane Wade,MIA,36,1,1,0,25,10,4,11,36.4,1,4,25,1,2,50,0,3,3,5,0,0,1,2,24.1,0,0,4,1,0,0,0,0,1,0,0,23.75,Dwyane WadeMIA
202687,Bismack Biyombo,CHA,26,1,0,1,25,4,2,3,66.7,0,0,0,0,0,0,2,8,10,1,1,0,3,3,25.5,0,0,4,0,1,0,0,0,1,0,0,23.5,Bismack BiyomboCHA
202324,Derrick Favors,UTA,27,1,1,0,28,8,4,8,50,0,0,0,0,0,0,2,6,8,0,1,2,1,1,25.6,0,0,10,0,0,0,0,0,0,0,0,23.5,Derrick FavorsUTA
1627884,Derrick Jones Jr.,MIA,21,1,1,0,18,11,4,10,40,1,2,50,2,4,50,2,3,5,0,1,2,1,2,25,0,0,-1,1,0,0,0,0,1,0,0,23.25,Derrick Jones Jr.MIA
203953,Jabari Parker,CHI,23,1,0,1,19,11,5,10,50,1,2,50,0,0,0,0,7,7,2,0,0,0,1,22.4,0,0,3,1,0,0,0,0,1,0,0,23.25,Jabari ParkerCHI
202703,Nikola Mirotic,NOP,27,1,0,1,27,9,3,8,37.5,1,6,16.7,2,2,100,0,6,6,0,0,0,3,5,25.2,0,0,4,0,0,0,0,0,0,0,0,23,Nikola MiroticNOP
1627846,Abdel Nader,OKC,25,1,1,0,17,15,6,6,100,1,1,100,2,2,100,0,2,2,2,0,0,1,0,23.4,0,0,3,1,0,0,0,0,1,0,0,23,Abdel NaderOKC
1627751,Jakob Poeltl,SAS,23,1,0,1,19,6,2,4,50,0,0,0,2,2,100,5,5,10,1,0,0,1,0,22.5,0,0,-1,0,1,0,0,0,1,0,0,22,Jakob PoeltlSAS
202335,Patrick Patterson,OKC,29,1,1,0,23,13,5,7,71.4,3,3,100,0,0,0,1,3,4,2,1,0,0,1,19.8,0,0,4,1,0,0,0,0,1,0,0,22,Patrick PattersonOKC
